,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
217,Suriname,0.0,1.0,14.0,7.0,14.0,16.0,2.0,1.0,2.0,0.0,15.0,1.0,1.0,5.0,7.0,9.0,5.0,2.0,0.0,4.0,7.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,11.0,28.0,10.0,5.0
218,Swaziland,0.0,7.0,3.0,30.0,1.0,1.0,1.0,7.0,14.0,25.0,14.0,0.0,0.0,4.0,3.0,14.0,30.0,53.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
219,Sweden,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,5.0,7.0,25.0,3.0,2.0,5.0,9.0,7.0,9.0,26.0,0.0,0.0,12.0,2.0,0.0,39.0,3.0,0.0,11.0,28.0,,5.0
220,Switzerland,1.0,3.0,12.0,19.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,4.0,10.0,0.0,54.0,2.0,5.0,3.0,7.0,9.0,26.0,3.0,2.0,13.0,1.0,1.0,40.0,3.0,6.0,5.0,30.0,4.0,
221,Syria,0.0,7.0,3.0,30.0,11.0,8.0,2.0,1.0,11.0,16.0,9.0,18.0,2.0,3.0,1.0,14.0,4.0,1.0,0.0,3.0,4.0,2.0,13.0,0.0,0.0,7.0,12.0,2.0,23.0,41.0,0.0,3.0,1.0,3.0,1.0,2.0
222,Taiwan,1.0,3.0,12.0,26.0,2.0,12.0,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,0.0,11.0,,
223,Tajikistan,0.0,7.0,3.0,6.0,11.0,8.0,3.0,4.0,1.0,31.0,12.0,6.0,3.0,6.0,2.0,0.0,4.0,56.0,0.0,3.0,4.0,0.0,4.0,3.0,0.0,0.0,12.0,2.0,31.0,42.0,0.0,5.0,12.0,22.0,11.0,6.0
224,Thailand,1.0,3.0,8.0,9.0,2.0,12.0,2.0,4.0,0.0,17.0,10.0,12.0,1.0,2.0,10.0,12.0,24.0,21.0,0.0,4.0,10.0,0.0,15.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,13.0,16.0,,
225,The Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Togo,2.0,2.0,11.0,1.0,11.0,8.0,1.0,7.0,6.0,30.0,5.0,10.0,0.0,4.0,3.0,12.0,30.0,29.0,0.0,3.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,54.0,5.0,1.0
227,Tonga,0.0,7.0,3.0,6.0,11.0,8.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,10.0,32.0,,
228,Trinidad and Tobago,1.0,3.0,8.0,20.0,5.0,12.0,0.0,3.0,12.0,14.0,7.0,2.0,1.0,2.0,10.0,12.0,1.0,62.0,0.0,4.0,10.0,0.0,11.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,8.0,3.0,3.0
229,Tunisia,1.0,1.0,14.0,7.0,0.0,29.0,2.0,1.0,9.0,27.0,9.0,12.0,2.0,3.0,1.0,14.0,3.0,1.0,0.0,0.0,7.0,2.0,4.0,12.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
